COD_ARMADOR,COD_LOCAL_ORIGENS,COD_LOCAL_DESTINOS,MIN_INTAKE,MAX_INTAKE,FRETE_POR_TON,TEMPO_IDA,TEMPO_IDA_VOLTA
COLOMBO,Portocel,Rlyeh;Dornfall,58000,58000,"48,3862246",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Promethea;Nassauia,58000,58000,"50,93514235",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Promethea;Yjigar,58000,58000,"50,93514235",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Promethea;Zuldazar,58000,58000,"50,93514235",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ichoris;Nassauia,58000,58000,"50,50224192",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ichoris;Yjigar,58000,58000,"50,50224192",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ichoris;Zuldazar,58000,58000,"50,50224192",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Askr;Nassauia,58000,58000,"50,44812936",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Askr;Yjigar,58000,58000,"50,44812936",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Askr;Zuldazar,58000,58000,"50,44812936",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Seireitei,58000,58000,"50,03990425",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Seireitei;Nassauia,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Seireitei;Yjigar,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Seireitei;Zuldazar,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Nassauia,58000,58000,"49,63297785",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Nassauia;Namek,58000,58000,"50,97843239",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Nassauia;Konoha,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Nassauia;Ulthar,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Nassauia;Lothlorien,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ngorim;Nassauia,58000,58000,"50,37540209",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ngorim;Yjigar,58000,58000,"50,37540209",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ngorim;Zuldazar,58000,58000,"50,37540209",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Namek;Yjigar,58000,58000,"50,97843239",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Namek;Zuldazar,58000,58000,"50,97843239",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Konoha;Yjigar,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Konoha;Zuldazar,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ulthar,58000,58000,"50,03990425",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ulthar;Yjigar,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Ulthar;Zuldazar,58000,58000,"51,29921161",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Lothlorien;Yjigar,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Lothlorien;Zuldazar,58000,58000,"50,44033716",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Yjigar,58000,58000,"49,63297785",2,3
COLOMBO,Portocel,Rlyeh;Dornfall;Zuldazar,58000,58000,"49,63297785",2,3
COLOMBO,Portocel,Rlyeh;Deliora,58000,58000,"49,1870904",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Promethea;Nassauia,58000,58000,"51,73600815",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Promethea;Yjigar,58000,58000,"51,73600815",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Promethea;Zuldazar,58000,58000,"51,73600815",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Ichoris;Nassauia,58000,58000,"51,30310772",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Ichoris;Yjigar,58000,58000,"51,30310772",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Ichoris;Zuldazar,58000,58000,"51,30310772",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Askr;Nassauia,58000,58000,"51,24899516",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Askr;Yjigar,58000,58000,"51,24899516",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Askr;Zuldazar,58000,58000,"51,24899516",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Seireitei,58000,58000,"50,84077006",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Seireitei;Nassauia,58000,58000,"52,10007742",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Seireitei;Yjigar,58000,58000,"52,10007742",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Seireitei;Zuldazar,58000,58000,"52,10007742",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Nassauia,58000,58000,"50,43384365",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Nassauia;Namek,58000,58000,"51,77929819",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Nassauia;Konoha,58000,58000,"51,24120296",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Nassauia;Ulthar,58000,58000,"52,10007742",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Nassauia;Lothlorien,58000,58000,"51,24120296",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Ngorim;Nassauia,58000,58000,"51,17626789",2,3
COLOMBO,Portocel,Rlyeh;Deliora;Ngorim;Yjigar,58000,58000,"51,17626789",2,3
